contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,fetch_time
AAPL250815C00090000,2025-08-01 14:22:07+00:00,90.0,115.33,111.45,113.6,-3.9199982,-3.2872102,1.0,9,1.759766826171875,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00095000,2025-08-01 14:22:07+00:00,95.0,110.34,106.35,108.7,-9.480003,-7.9118705,1.0,11,1.650392373046875,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00100000,2025-07-29 14:37:20+00:00,100.0,112.7,101.9,103.0,0.0,0.0,33.0,160,1.4179716601562502,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00105000,2025-07-29 13:33:09+00:00,105.0,109.53,96.3,98.7,0.0,0.0,4.0,30,1.4140654296875002,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00110000,2025-07-29 14:12:41+00:00,110.0,103.29,91.9,93.0,0.0,0.0,4.0,425,1.2382850585937497,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00115000,2025-08-01 13:35:10+00:00,115.0,96.5,86.85,88.25,3.4000015,3.651989,4.0,86,1.291019169921875,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00120000,2025-08-01 13:35:10+00:00,120.0,91.41,81.95,83.35,2.8100052,3.1715636,4.0,66,1.2851598242187499,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00125000,2025-07-30 13:40:13+00:00,125.0,86.08,76.95,77.95,0.0,0.0,8.0,49,0.99804689453125,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00130000,2025-08-01 18:56:06+00:00,130.0,74.24,71.7,72.9,-6.810005,-8.402226,3.0,44,1.236331943359375,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00135000,2025-08-01 13:35:10+00:00,135.0,76.44,66.4,68.7,2.75,3.7318494,4.0,80,0.9570316796874999,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00140000,2025-08-01 13:39:30+00:00,140.0,70.83,62.1,62.85,1.6900024,2.4443195,9.0,290,0.81445498046875,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00145000,2025-08-01 13:38:20+00:00,145.0,62.73,56.9,57.95,-1.1100006,-1.7387228,142.0,198,0.6796907031250001,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
